,Cycle,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure7,SensorMeasure8,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure15,SensorMeasure17,SensorMeasure20,SensorMeasure21,labels
0,1,641.94,1581.93,1396.93,554.56,2387.93,47.09,521.89,2387.94,8.376,391,39.07,23.4468,0
1,2,642.02,1584.86,1398.9,554.1,2387.94,47.08,521.85,2388.01,8.4062,391,39.04,23.4807,0
2,3,641.68,1581.78,1391.92,554.41,2387.97,47.15,522.1,2387.94,8.3553,391,39.1,23.4244,0
3,4,642.2,1584.53,1395.34,554.58,2387.94,47.26,522.45,2387.96,8.3709,392,38.97,23.4782,0
4,5,642.46,1589.03,1395.86,554.16,2388.01,46.94,521.91,2387.97,8.4146,391,39.09,23.395,0
5,6,641.74,1582.87,1397.04,554.48,2388.01,47.14,522.59,2388.05,8.3647,390,38.98,23.405,0
6,7,642.21,1582.2,1396.77,554.37,2387.98,47.04,522.65,2388.02,8.3942,390,39.0,23.3512,0
7,8,641.9,1582.12,1400.2,554.47,2388.04,47.14,522.53,2387.99,8.3864,391,39.12,23.4069,0
8,9,642.61,1582.37,1399.1,554.54,2388.02,47.08,522.58,2388.01,8.371,392,39.19,23.3813,0
9,10,641.36,1587.44,1397.07,554.65,2388.03,47.25,522.5,2388.04,8.395,392,39.23,23.4534,0
10,11,642.05,1579.81,1393.35,553.34,2387.99,47.11,521.04,2387.92,8.396,391,39.1,23.5299,0
11,12,642.18,1579.28,1399.61,554.92,2388.04,47.3,523.26,2387.96,8.3783,391,39.14,23.5267,0
12,13,642.39,1584.31,1396.36,554.25,2387.97,47.12,522.13,2387.97,8.3715,391,38.97,23.4171,0
13,14,642.48,1582.37,1394.58,554.59,2388.01,47.1,522.54,2387.99,8.3579,391,39.07,23.4001,0
14,15,641.92,1577.58,1391.73,554.04,2388.02,46.95,522.28,2387.98,8.4068,392,39.16,23.4559,0
